hex,flight,r,t,alt_baro,lat_rnd,lon_rnd,ICAOTypeCode,Manufacturer,OperatorFlagCode,RegisteredOwners,Type
a03fdf,N115MF  ,N115MF,FA50,ground,-41.3,174.8,F5EX,Dassault,F5EX,Cherry Road Leasing LLC,Falcon 50EX
7c0a6b,CCD     ,VH-CCD,GLEX,ground,-37.7,144.8,GLEX,Bombardier,GLEX,Crown Melbourne Ltd,Global Express XRS
7c0a6b,CCD     ,VH-CCD,GLEX,ground,-37.7,144.9,GLEX,Bombardier,GLEX,Crown Melbourne Ltd,Global Express XRS
7c5bf8,SGA     ,VH-SGA,GLF6,ground,-37.7,144.9,G650,Gulfstream Aerospace,G650,Business Aviation Solutions P/L,G650 ER
a40d47,N360LA  ,N360LA,GLEX,ground,-37.7,144.9,GLEX,Bombardier,GLEX,Luft Aviation Charter,Global Express
7c47ab,VHOFX   ,VH-OFX,GLEX,ground,-37.7,144.9,GLEX,Bombardier,ACJ,AC Aviation Company Ltd,Global Express
7c384f,LEP     ,VH-LEP,GLEX,ground,-37.7,144.9,GL6T,Bombardier,GL6T,Air National Australia P/L,Global 6000
7c1a31,FGJ     ,VH-FGJ,GLEX,ground,-37.7,144.9,GLEX,Bombardier,GLEX,Pratt Aviation P/L,Global Express XRS
a03fdf,N115MF  ,N115MF,FA50,ground,-35.8,174.4,F5EX,Dassault,F5EX,Cherry Road Leasing LLC,Falcon 50EX
7cfa71,EVY90   ,A56-001,FA7X,ground,-35.3,149.2,FA7X,Dassault,ASY,Royal Australian Air Force,Falcon 7X
7cfa71,EVY57   ,A56-001,FA7X,ground,-35.3,149.2,FA7X,Dassault,ASY,Royal Australian Air Force,Falcon 7X
7cfa73,EVY74   ,A56-003,FA7X,ground,-35.3,149.2,FA7X,Dassault,ASY,Royal Australian Air Force,Falcon 7X
7c0a6b,CCD     ,VH-CCD,GLEX,ground,-34.9,138.5,GLEX,Bombardier,GLEX,Crown Melbourne Ltd,Global Express XRS
ac15a1,N878SC  ,N878SC,GLEX,ground,-34.0,18.6,GL6T,Bombardier,GL6T,The Whitewind Company,Global 6000
008058,EXD008  ,ZS-ACT,CL30,ground,-34.0,18.6,,---,,---,---
05802b,7QMAG   ,7Q-MAG,GLF4,ground,-34.0,18.6,,---,,---,---
7c2ad1,VHIQR   ,VH-IQR,GLEX,ground,-34.0,18.6,GLEX,Bombardier,GLEX,ExecuJet Australia P/L,Global Express XRS
7cfa73,EVY74   ,A56-003,FA7X,ground,-34.0,151.2,FA7X,Dassault,ASY,Royal Australian Air Force,Falcon 7X
7c0a6b,CCD     ,VH-CCD,GLEX,ground,-33.9,151.2,GLEX,Bombardier,GLEX,Crown Melbourne Ltd,Global Express XRS
7cfa73,EVY74   ,A56-003,FA7X,ground,-33.9,151.2,FA7X,Dassault,ASY,Royal Australian Air Force,Falcon 7X
